,names,profiles,periods,gre,TOEFL,CGPA,Experience
0,amaljose96,/profiles/amaljose96,Fall 2020 ,319,112,8.98,39 months
1,Unagi95,/profiles/Unagi95,Fall 2019 ,323,111,7.62,31 months
2,ShireenSaini,/profiles/ShireenSaini,Fall 2019 ,322,109,8.8,7 months
3,vijender,/profiles/vijender,Fall 2019 ,326,110,8.35,24 months
4,asparida,/profiles/asparida,Fall 2018 ,326,109,8.85,60 months
5,chiragk24,/profiles/chiragk24,Fall 2016 ,326,112,9.5,30 months
6,tushar77,/profiles/tushar77,Fall 2016 ,329,114,77,30 months
7,111ankit111,/profiles/111ankit111,Fall 2015 ,318,109,9.2,30 months
